name	x	y
1984	425.8654090547443	530.7366071735638
Fahrenheit 451	465.618775523136	528.6356243932845
Brave New(-)World	444.0997028882946	572.116230722088
Catch-22	492.2628092216478	560.6043234361815
The Catcher in(-)the Rye	460.79915148740173	560.341702589064
Slaughterhouse-Five: A(-)Novel	483.60109375184334	625.6361151336714
Nineteen Eighty-Four	396.7217628647791	561.8502339353718
Huxley's Brave New(-)World 	373.70414326706856	500.218766134649
Golding's the Lord of(-)the Flies 	390.2083349699127	483.887039941313
Animal Farm	390.2144883163059	537.3303770119104
A Clockwork(-)Orange	411.9672639532706	587.7071736098667
The Great(-)Gatsby	509.69788055548065	593.2483596489586
Of Mice and(-)Men 	415.02703913156955	568.2026132608963
Lord of the(-)Flies 	439.700663912	479.54643544583325
Cat's Cradle:(-)A Novel	467.12060419908806	701.3542216863846
Breakfast of Champions:(-)A Novel	508.03593872177333	703.7229213633454
To Kill(-)a Mockingbird	410.96909526157117	519.9048582366706
One Flew Over the(-)Cuckoo's Nest: 	439.37202760784334	610.4373582446268
The Adventures of(-)Huckleberry Finn	478.46649129460053	595.0463447815804
Their Eyes Were(-)Watching God	529.359230134472	634.573462037412
The Grapes of(-)Wrath 	449.6522934775535	623.8859672345652
Death of a(-)Salesman 	431.79908039554107	643.8747646938331
Night 	433.9826447318419	486.76331299448486
Of Mice(-)& Men	348.9324891595732	601.8872241685766
The Sirens of Titan:(-)A Novel	518.9181476038478	730.0735411102272
Mother Night:(-)A Novel	481.8115421992109	734.0194243657226
Welcome to the Monkey(-)House: Stories	448.58857514872767	726.8597734364331
Romeo and(-)Juliet 	364.3150556229806	465.14625342047896
The Scarlet(-)Letter	513.40381025144	586.586103923466
The Crucible(-)	448.6279883717459	610.2128258626566
Hawthorne's The Scarlet(-)Letter 	478.6655860377537	671.1408345012968
Invisible Man	572.3129505023164	616.2816539335178
The Things(-)They Carried	548.5081486697613	587.5457057446378
Their Eyes Were Watching(-)God CD	486.8999936309564	591.2335961245327
Fitzgerald's The Great(-)Gatsby 	472.3024237126497	642.5396115575859
East of(-)Eden	457.5217789274154	594.1289084103558
The Glass(-)Menagerie	462.1192128178447	667.7091535151249
A Streetcar(-)Named Desire	434.5979337460859	688.6213124112487
A Raisin in(-)the Sun	432.05019027577816	616.479502611177
Player Piano	469.0189035124474	778.9642274104447
